web-scraper-order,web-scraper-start-url,Name_Reviewer,Assesment_Rating,Room_Type,Comments,Date_Review
"1713977182-1","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","felix from Australia","10.0","Deluxe Two Bedroom Suite","Book this room for 3 night. What a awesome place i get. Close to everywhere. Very clean room. Is not wasting your money and time if you booked this axon","Reviewed March 18, 2024"
"1713977182-2","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Muhd from Brunei Darussalam","9.6","Deluxe Two Bedroom Suite","Great location to stay as the streets surrounding the building are quite lively & safe + close to the main road to Bukit Bintang so it is a quick walk to the main shopping malls & restaurants.

The room was clean and cozy which is not to what I expected when I read some of the negative reviews below. But I do agree the check-in process needs some improvement.

Overall, still a great place to stay if you are travelling in a group or as couples. Would stay here again in the future.","Reviewed February 29, 2024"
"1713977182-3","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Shehab from Egypt","10.0","Superior Queen Room","Very  good hotel & clean & awesome roof & nice stuff especially qasim was very helpful and professional man","Reviewed December 22, 2023"
"1713977182-4","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Farida from Indonesia","9.6","Deluxe Two Bedroom Suite","Everything is super good. Highly recomended than the legend hotel in front of this unit. Unit is so homey, clean, new and the facilities are complete. Maybe some kitchen tools like knive, glass towel and spatula are usefull.  Clothes hanger are needed too. Thankyou..","Reviewed January 14, 2024"
"1713977182-5","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Tia from Singapore","10.0","Superior Queen Room","Had a safe & happy stay.  Prepare 300RM deposit ahead of time. The place is quite small. Great view","Reviewed March 24, 2024"
"1713977182-6","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Farida from Indonesia","9.6","Deluxe Two Bedroom Suite","Everything is super good. Highly recomended than the legend hotel in front of this unit. Unit is so homey, clean, new and the facilities are complete. Maybe some kitchen tools like knive, glass towel and spatula are usefull.  Clothes hanger are needed too. Thankyou..","Reviewed January 14, 2024"
"1713977182-7","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Tia from Singapore","10.0","Superior Queen Room","Had a safe & happy stay.  Prepare 300RM deposit ahead of time. The place is quite small. Great view","Reviewed March 24, 2024"
"1713977182-8","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Olivia from Hong Kong SAR, China","9.2","Superior Queen Room","This apartment aka hotel is very clean, new, AC is cold, water heater is great, not noisy, lift is fast and the view is AMAZING must go to 37 floor.  Location is near to Sungei Wang and Giant supermarket. All good except no fridge, lobby is always busy full of people keep on eye of your belongings and no toothbrush. Qasim as a key owner is very fast to respond my messages. Very good service. I will book again if price still reasonable.","Reviewed March 19, 2024"
"1713977182-9","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Stasia from Indonesia","10.0","Deluxe Suite","Tempat bersih dan rapi. Yg anter key jg gesit dan helpfull bgt. Cm disana harus bw sikat gigi sdr krn service apartment. Untuk handuk tersedia.","Reviewed January 10, 2024"
"1713977182-10","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Emilia from Indonesia","9.6","Deluxe Two Bedroom Suite","Staff named Qasim is helpfull and fast respond ..
the rooms is clean and have a good view .. 

will back to stay here","Reviewed March 14, 2024"
